"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","session","startTime","attn_word","button_pressed","view_history","animation_sequence","condition","time_sequence","stim_type","direction","correct","init_locations","moves","final_locations","sort_correct","finalLocations","responses"
"864461","welcome","32","html-keyboard-response","0","864463","0.0-0.0","1","2020-1-6 21:40:52","MONKEY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35118","consent",NA,"html-button-response","1","899583","0.0-1.0","1","2020-1-6 21:40:52","MONKEY","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"500004","instructions",NA,"instructions","2","1399588","0.0-2.0","1","2020-1-6 21:40:52","MONKEY",NA,"[{""page_index"":0,""viewing_time"":8479},{""page_index"":1,""viewing_time"":5690},{""page_index"":2,""viewing_time"":6904},{""page_index"":3,""viewing_time"":9483},{""page_index"":4,""viewing_time"":3542},{""page_index"":5,""viewing_time"":2256},{""page_index"":6,""viewing_time"":463650}]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19915","setup5",NA,"animation","3","1419505","0.0-3.0-0.0","1","2020-1-6 21:40:52","MONKEY",NA,NA,"[{""cat"":6,""src"":2,""loc"":3},{""cat"":24,""src"":14,""loc"":6},{""cat"":7,""src"":12,""loc"":2},{""cat"":7,""src"":1,""loc"":5},{""cat"":24,""src"":3,""loc"":0},{""cat"":6,""src"":17,""loc"":8},{""cat"":7,""src"":6,""loc"":7},{""cat"":6,""src"":4,""loc"":1},{""cat"":24,""src"":19,""loc"":4}]","5","1103,1101,1102,1101,1101,1102,1101,1101,1101,10002",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9736","flanker_instructions","39","html-keyboard-response","4","1429242","0.0-3.0-1.0","1","2020-1-6 21:40:52","MONKEY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"600","flanker_test","39","image-keyboard-response","5","1430844","0.0-3.0-2.0-0.0","1","2020-1-6 21:40:52","MONKEY",NA,NA,NA,NA,NA,"incongruent","right","TRUE",NA,NA,NA,NA,NA,NA
"545","flanker_test","39","image-keyboard-response","6","1431830","0.0-3.0-2.0-0.1","1","2020-1-6 21:40:52","MONKEY",NA,NA,NA,NA,NA,"congruent","right","TRUE",NA,NA,NA,NA,NA,NA
"524","flanker_test","37","image-keyboard-response","7","1433274","0.0-3.0-2.0-0.2","1","2020-1-6 21:40:52","MONKEY",NA,NA,NA,NA,NA,"incongruent","left","TRUE",NA,NA,NA,NA,NA,NA
"509","flanker_test","37","image-keyboard-response","8","1434194","0.0-3.0-2.0-0.3","1","2020-1-6 21:40:52","MONKEY",NA,NA,NA,NA,NA,"congruent","left","TRUE",NA,NA,NA,NA,NA,NA
"21511","sort_trial",NA,"free-sort","9","1456855","0.0-3.0-3.0","1","2020-1-6 21:40:52","MONKEY",NA,NA,NA,NA,NA,NA,NA,NA,"[{""cat"":6,""src"":2,""x"":69,""y"":311},{""cat"":24,""src"":14,""x"":57,""y"":376},{""cat"":7,""src"":12,""x"":1,""y"":132},{""cat"":7,""src"":1,""x"":6,""y"":490},{""cat"":24,""src"":3,""x"":7,""y"":435},{""cat"":6,""src"":17,""x"":69,""y"":200},{""cat"":7,""src"":6,""x"":33,""y"":85},{""cat"":6,""src"":4,""x"":27,""y"":27},{""cat"":24,""src"":19,""x"":75,""y"":252}]","[{""cat"":""24"",""src"":""19"",""x"":0,""y"":0},{""cat"":""6"",""src"":""17"",""x"":0,""y"":0},{""cat"":""24"",""src"":""14"",""x"":0,""y"":0},{""cat"":""7"",""src"":""6"",""x"":0,""y"":0},{""cat"":""7"",""src"":""1"",""x"":0,""y"":0},{""cat"":""6"",""src"":""2"",""x"":0,""y"":0},{""cat"":""24"",""src"":""3"",""x"":0,""y"":0},{""cat"":""7"",""src"":""12"",""x"":0,""y"":0},{""cat"":""6"",""src"":""4"",""x"":0,""y"":0}]","[{""cat"":24,""src"":19,""loc"":4},{""cat"":6,""src"":17,""loc"":8},{""cat"":24,""src"":14,""loc"":6},{""cat"":7,""src"":6,""loc"":7},{""cat"":7,""src"":1,""loc"":5},{""cat"":6,""src"":2,""loc"":3},{""cat"":24,""src"":3,""loc"":0},{""cat"":7,""src"":12,""loc"":1},{""cat"":6,""src"":4,""loc"":2}]","7","24,7,6,6,24,7,24,7,6,3,12,4,2,19,1,14,6,17,0,1,2,3,4,5,6,7,8,6,7,8,5,0,4,2,3,1",NA
"3506","sort_feedback","32","html-keyboard-response","10","1460363","0.0-3.0-4.0","1","2020-1-6 21:40:52","MONKEY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19917","setup5",NA,"animation","11","1480280","0.0-3.0-5.0","1","2020-1-6 21:40:52","MONKEY",NA,NA,"[{""cat"":12,""src"":2,""loc"":1},{""cat"":5,""src"":4,""loc"":7},{""cat"":10,""src"":9,""loc"":4},{""cat"":5,""src"":9,""loc"":2},{""cat"":10,""src"":1,""loc"":6},{""cat"":12,""src"":10,""loc"":5},{""cat"":5,""src"":2,""loc"":3},{""cat"":12,""src"":5,""loc"":8},{""cat"":10,""src"":14,""loc"":0}]","5","1104,1101,1101,1102,1100,1102,1102,1102,1101,10002",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1292","flanker_instructions","39","html-keyboard-response","12","1481573","0.0-3.0-6.0","1","2020-1-6 21:40:52","MONKEY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"644","flanker_test","37","image-keyboard-response","13","1483219","0.0-3.0-7.0-0.0","1","2020-1-6 21:40:52","MONKEY",NA,NA,NA,NA,NA,"incongruent","left","TRUE",NA,NA,NA,NA,NA,NA
"404","flanker_test","37","image-keyboard-response","14","1483953","0.0-3.0-7.0-0.1","1","2020-1-6 21:40:52","MONKEY",NA,NA,NA,NA,NA,"congruent","left","TRUE",NA,NA,NA,NA,NA,NA
"532","flanker_test","39","image-keyboard-response","15","1485539","0.0-3.0-7.0-0.2","1","2020-1-6 21:40:52","MONKEY",NA,NA,NA,NA,NA,"incongruent","right","TRUE",NA,NA,NA,NA,NA,NA
